Sample	Type	RR(ms)
157063	0	672	
157165	0	561	
157257	2	472	
157366	0	650	
157468	0	566	
157562	2	477	
157669	0	638	
157768	0	544	
157861	2	472	
157969	0	644	
158069	0	555	
158160	2	466	
158268	0	638	
158369	0	566	
158463	2	483	
158565	0	605	
158664	0	544	
158760	2	500	
158863	0	605	
158962	0	555	
159053	2	455	
159162	0	655	
159263	0	561	
159357	2	477	
159465	0	644	
159566	0	555	
159664	0	550	
159767	0	566	
159868	0	566	
159959	2	455	
160069	0	661	
160171	0	561	
160272	0	566	
160373	0	561	
160474	0	561	
160575	0	561	
160675	0	550	
160776	0	561	
160877	0	561	
160977	0	555	
161077	0	555	
161157	2	416	
161279	0	705	
161382	0	577	
161482	0	555	
161582	0	555	
161682	0	555	
161782	0	550	
161881	0	555	
161982	0	561	
162081	0	544	
162180	0	550	
162279	0	555	
162350	2	355	
162480	0	755	
162581	0	566	
162680	0	550	
162778	0	538	
162876	0	550	
162974	0	544	
163072	0	544	
163170	0	538	
163268	0	550	
163366	0	544	
163464	0	544	
163562	0	544	
163660	0	538	
163760	0	561	
163859	0	544	
163958	0	550	
164057	0	550	
164156	0	550	
164256	0	555	
164356	0	555	
164455	0	550	
164554	0	555	
164653	0	544	
164753	0	561	
164852	0	550	
164952	0	555	
165051	0	544	
165151	0	555	
165250	0	555	
165350	0	555	
165450	0	550	
165549	0	550	
165648	0	550	
165747	0	550	
165847	0	555	
165947	0	555	
166046	0	555	
166145	0	550	
166244	0	550	
166345	0	555	
166444	0	555	
166544	0	555	
166644	0	555	
166744	0	555	
166844	0	555	
166944	0	555	
167044	0	550	
167144	0	555	
167244	0	555	
167345	0	561	
167445	0	555	
167545	0	555	
167645	0	561	
167746	0	561	
167848	0	566	
167949	0	561	
168051	0	566	
168152	0	555	
168253	0	561	
168355	0	566	
168456	0	561	
168557	0	561	
168657	0	555	
168757	0	561	
168858	0	561	
168958	0	550	
169059	0	566	
169159	0	555	
169258	0	544	
169357	0	550	
169457	0	555	
169557	0	561	
169656	0	544	
169756	0	561	
169854	0	544	
169954	0	555	
170053	0	550	
170153	0	555	
170252	0	550	
170352	0	550	
170451	0	550	
170551	0	555	
170649	0	544	
170748	0	550	
170847	0	550	
170945	0	544	
171042	0	544	
171141	0	550	
171239	0	538	
171338	0	555	
171436	0	544	
171534	0	538	
171633	0	555	
171731	0	538	
171830	0	550	
171928	0	544	
172027	0	550	
172126	0	550	
172224	0	544	
172322	0	550	
172420	0	538	
172518	0	544	
172616	0	550	
172713	0	538	
172811	0	538	
172910	0	555	
173008	0	544	
173106	0	538	
173205	0	555	
173302	0	538	
173402	0	555	
173500	0	538	
173599	0	550	
173696	0	538	
173794	0	544	
173892	0	544	
173990	0	544	
174086	0	533	
174184	0	550	
174282	0	538	
174380	0	544	
174478	0	550	
174576	0	544	
174674	0	538	
174774	0	561	
174872	0	544	
174971	0	544	
175070	0	550	
175169	0	555	
175268	0	544	
175368	0	555	
175467	0	550	
175565	0	544	
175664	0	550	
175763	0	550	
175861	0	550	
175944	2	427	
176058	0	666	
176157	0	544	
176255	0	550	
176354	0	550	
176452	0	544	
176522	1	388	
176642	0	666	
176744	0	561	
176839	2	494	
176940	0	594	
177037	0	538	
177134	0	544	
177232	0	538	
177329	0	538	
177425	0	533	
177522	0	544	
177619	0	533	
177716	0	544	
177813	0	533	
177912	0	555	
178010	0	544	
178109	0	550	
178207	0	544	
178307	0	550	
178406	0	555	
178506	0	550	
178606	0	561	
178705	0	550	
178805	0	550	
178905	0	561	
179004	0	550	
179102	0	538	
179201	0	555	
179299	0	538	
179398	0	550	
179495	0	538	
179593	0	544	
179689	0	533	
179787	0	550	
179883	0	527	
179980	0	538	
180078	0	550	
180174	0	527	
180271	0	544	
180367	0	527	
180463	0	533	
180560	0	538	
180658	0	544	
180755	0	538	
180851	0	533	
180949	0	544	
181046	0	538	
181145	0	550	
181242	0	538	
181340	0	550	
181439	0	550	
181537	0	544	
181634	0	538	
181732	0	538	
181830	0	544	
181928	0	544	
182027	0	555	
182125	0	544	
182223	0	538	
182322	0	550	
182421	0	550	
182521	0	555	
182620	0	550	
182717	0	538	
182816	0	550	
182915	0	555	
183014	0	544	
183112	0	544	
183210	0	544	
183309	0	550	
183408	0	555	
183506	0	544	
183604	0	538	
